AT;V;AP;RH;P
29.56;71.14;1011.42;53.18;432.09
12.74;41.38;1021.92;56.67;475.63
18.48;52.05;1012.41;68.2;458.62
33.5;70.8;1008.99;57.24;433.19
16.23;43.72;1009.96;83.01;457.9
27.26;73.18;1012.58;74.83;429.92
32.11;78.05;1010.36;58.78;431.31
25.11;58.79;1015.99;60.55;442.34
7.24;41.17;1020.35;80.56;486.76
22.42;60.08;1017.71;67.46;452.31
23.74;62.96;1019.65;63.39;449.48
12.19;40.75;1015.13;88.98;475.36
24.13;48.98;1014.74;40.13;460.38
28.84;60.23;1009.7;59;437.82
24.47;58.05;1011.27;71.7;446.93
15.47;44.9;1021.59;81.74;465.61
19.66;51.43;1010.17;84.19;459.12
21.41;50.32;1008.61;84.47;443.63
27.78;72.43;1006.72;74.53;429.62
8.68;41.82;1032.83;73.62;478.61
29.79;62.66;1008.5;48.51;440.27
19.13;42.18;1001.45;98.77;456.04
21.92;58.79;1010.09;89.7;446.71
12.91;41.66;1013.37;71.52;469.71
26.78;66.54;1010.14;49.01;440
14.1;42.18;1015.05;78.25;463.3
23.79;58.49;1011;75.39;445.87
24.17;59.44;1012.66;78.53;447.13
25.65;43.77;1011.65;46.18;444.01
12.36;45.09;1013.05;88.4;467.2
27.58;71.97;1008.51;87.99;430.53
13.45;41.49;1020.19;88.72;467.3
24.95;64.33;1011.34;81.05;440.97
11.03;44.78;1013.16;83.85;470.17
13.48;41.92;1030.2;65.96;463.9
10.15;41.46;1019.56;81.79;479.32
15.1;41.35;1003.84;97.89;466.14
16.12;45.87;1008.15;86.12;457.41
28.18;64.84;1009.22;56.04;443.65
25.23;61.86;1013;76.18;441.48
25.34;69.48;1008.4;74.79;433.81
33.34;69.88;1007.65;42.72;437.84
11.78;39.96;1011.37;82.95;472.79
25.37;44.89;1009.27;63.06;442.38
30.21;79.74;1006.82;54.03;430.83
7.64;42.28;1008.46;84.29;484.78
23.25;63.86;1017.82;59.64;445.12
11.62;43.48;1016.66;76.32;468.37
10.08;37.92;1010.47;66.37;474.63
13.89;45.08;1024.64;82.29;467.74
5.52;42.85;1012.77;93.82;478.98
21.28;44.05;1005.69;83.2;444.56
27.09;49.3;1003.93;61;437.44
28.47;69.23;1013.18;40.73;434.12
26.27;59.44;1012.23;58.77;443.67
6.97;41.26;1010.6;96.88;484.71
17.67;50.88;1015.64;90.55;456.16
8.52;41.55;1002.09;86.81;483.63
18.3;37.2;1012.23;68.09;470.42
16.48;41.35;1005.61;89.07;465.64
30.98;67.45;1015.18;45.4;433.59
7.68;38.06;1020.92;83.87;483.8
27.99;69.89;1013.94;51.25;435.79
8.26;39.42;1025.89;70.53;474.72
7.05;40.69;1020.53;89.67;476.75
11.58;41.74;1020.41;74.09;478.06
6.05;38.68;1017.46;66.13;483.5
16.36;43.99;1021.34;85.13;465.81
28.37;75.6;1017.48;55.19;439.25
28.08;59.14;1016.16;58.08;438.83
21.7;49.02;1008.74;82.8;446.46
23.56;73.18;1012.18;87.98;437.92
17.44;44.89;1009.9;80.54;457.67
9.82;41.26;1007.71;96.69;478.02
22.57;68.3;1017.43;87.69;440.81
25.77;71.37;1008.88;78.96;433.45
28.18;73.03;1014.18;67.72;439.74
26.62;71.73;1009.32;80.1;431.93
19.54;50.66;1014.7;84.53;456.61
22.39;48.14;1014.56;64.31;448.58
27.01;65.06;1013.16;53.02;439.81
25.86;61.08;1013.51;67.5;449.67
13.79;45.08;1025.02;84.36;469.55
19.84;65.48;1019.54;76.6;449.85
8.85;41.06;1020.99;86.05;486.4
24.67;49.5;1013.62;59.42;455.31
9.06;40.02;1031.16;82.04;478.01
22.18;45.09;1014.04;43.13;455.4
24.73;70.72;1009.82;88.79;439.3
14.56;41.76;1023.82;85.36;464.3
21.39;62.96;1019.49;72.24;452.68
23.26;59.21;1017.71;67.16;442.38
26.76;48.41;1010.53;47.38;440.63
25.17;68.08;1012.83;60.87;437.01
30.05;69.34;1008.26;61.5;436.82
30.57;69.71;1008.94;59.99;439.38
30.8;73.17;1010.51;51.93;432.24
24.87;60.37;1005.48;76.21;436.41
22.49;69.84;1006.78;73.76;437.57
26.8;68.31;1011.04;61.48;447.85
23.45;66.48;1003.66;75.83;435.13
29.23;74.22;1008.49;57.88;428.9
22.21;61.5;1008.34;76.22;445.77
8.14;41.26;1020.61;91.28;477.57
16.15;44.21;1020.76;85.41;462.02
28.37;69.13;1010.44;71.93;425.29
6.25;39.48;1004.82;52.71;484.26
24.62;70.47;1010.55;72.71;435.88
27.63;71.98;1005.45;82.88;426
26.35;64.05;1009.81;81.24;433.63
21.27;57.5;1014.53;80.76;453.34
15.84;41.04;1025.64;63.43;456.21
19.94;65.46;1017.7;68.94;448.67
19.98;49.15;1021.56;63.89;457.54
20.2;60.1;1010.66;84.24;451.17
23.55;65.94;1011.76;58.44;443.98
24.11;68.3;1017.33;79.16;432.62
20.1;58.95;1018.46;80.87;446.7
23.83;71.37;1002.04;64.78;443.29
29.05;69.71;1009.03;64.25;434.05
14.41;40.83;1009.82;80.43;470.13
20.14;46.33;1013.24;83.39;453.35
20.45;58.96;1014.53;65.36;454.26
20.74;59.8;1015.46;76.39;452.99
10.02;52.75;1021.93;73.68;473.09
21.36;59.54;1007.99;92.62;446.09
18.4;44.06;1017.36;70.88;456.8
28.27;66.56;1007.36;55.99;433.52
28.41;75.6;1018.48;56.07;440.28
14.08;40.73;1017.52;91.49;461.58
18.5;47.03;1013.97;93.6;460.08
10.73;40.35;1012.27;89.65;477.23
10.28;41.46;1018.44;85.23;479.66
12.67;48.14;1017.41;83.63;463.68
29.09;72.43;1006.86;65.47;427.3
12.22;40.71;1021.25;80.83;477.07
23.48;60.23;1011.91;79.48;437.44
11.61;52.75;1020.94;77.56;464.68
23.49;73.18;1012.4;90.05;437.01
19.45;41.1;1001.88;52.16;458.26
11.39;40.27;1009.04;73.13;474.93
26.7;49.02;1007.68;67.97;438.92
14.64;42.77;1017.59;79.6;464.27
4.78;42.85;1013.07;94.72;479.09
14.86;44.71;1018.3;49.46;466.38
10.99;43.5;1021.1;93.64;469.34
17.54;44.58;1016.56;79;465.51
14.78;42.86;1015.32;84.75;471.17
29.82;66.51;1010.98;43.57;439.17
27.22;66.49;1013.45;42.41;437.24
14.77;48.06;1010.92;69.81;461.52
25.54;60.37;1006.49;71.54;436.14
27.16;66.44;1011.2;73.37;431.85
27.88;68.94;1007.68;75.68;435.04
26.2;60.07;1014.75;59.41;440.89
29.44;65.51;1014.82;56.49;445.67
11.04;45.51;1017.53;83.42;474.45
14.59;42.44;1012.7;83.92;470.86
22.22;48.98;1015.87;53.18;447.1
4.95;42.07;1004.87;80.88;485.67
23.46;73.18;1012.07;88.14;438.62
6.15;40.07;1020.2;66.64;494.3
10.74;40.92;1021.74;94.97;466.77
27.5;49.3;1004.02;59.23;439.77
25.23;60.84;1017.79;56.42;442.02
23.56;49.16;1002.54;69.07;443.02
27.44;52.3;1008.15;58.92;441.75
17.28;44.92;1024.39;76.08;459.26
12.65;44.34;1019.4;71.45;468.8
16.73;43.79;1016.25;73.58;468.87
30.99;68.51;1008;71.35;430.09
32.26;71.29;1008.41;48.58;431.96
25.23;69.34;1009.51;82.87;445.92
19.99;65.94;1012.28;75.42;447.22
7.94;40.6;1015.3;92.14;486.33
17.8;62.26;1011.81;89.81;451.62
21.5;50.59;1017.08;65.28;453.8
21.75;45.09;1014.15;44.84;452.84
24.87;65.75;1006.45;65.75;435.6
25;68.14;1005.35;57.13;437.67
23.11;68.3;1017.83;86.62;437.91
20.01;52.9;1018.05;58.88;455.57
8.52;38.5;1013.16;64.06;482.96
12.8;42.18;1016.27;83.9;467.69
29.34;71.98;1005.19;75.19;428.24
34.29;68.51;1009.58;32.25;427.62
10.2;40.67;1016.15;73.2;482.26
5.81;45.87;1009.63;94.38;479.66
20.1;59.87;1018.97;87.23;444.71
11.42;41.54;1020.21;71.57;477.5
13.8;44.21;1022.93;83.37;468.97
20.45;69.45;1012.53;91.81;441.83
16.57;63.31;1016.19;81.02;454.78
20.62;43.43;1009.93;64.02;449.07
30.55;71.06;1009.33;73.38;432.6
4.7;39.9;1007.45;91.02;487.78
28.61;68.12;1012.23;46.45;435.28
26.26;71.73;1009.59;80.06;430.79
23.35;59.92;1009.86;88.6;439.82
29.52;77.24;1008.55;76.24;433.82
7.62;44.71;1020.56;69.96;486.07
26.16;67.9;1005.81;61.02;444.06
18.92;67.71;1008.19;64.53;446.77
6.14;40.62;1015.71;86.51;481.66
7.64;41.17;1020.01;75.14;488.53
6.86;41.17;1020.12;79.14;490.23
22.33;59.8;1016.84;67.09;450.07
30.36;68.08;1010.76;51.32;429.97
23.59;59.43;1009.96;65.8;440.61
18.76;56.53;1020.04;86.62;452.5
32.49;74.99;1002.19;34.58;435.43
3.51;35.47;1017.53;86.56;489.07
27.23;63.9;1014.3;47.19;443.61
26.91;61.5;1009.47;55.26;436.84
9.14;37.36;1015.22;78.06;491.97
21.95;68.63;1012.8;61.55;448.9
22.35;51.43;1011.34;77.33;445.34
27.02;71.25;1000.48;87.86;438.33
7.14;39.4;1011.68;91.84;482.82
24.03;58.46;1015.71;70.15;442.03
29.49;69.71;1009.34;56.35;440.99
19.46;60.07;1014.81;66.61;451.89
31.01;67.83;1007.95;43.57;429.46
25.9;71.73;1010.18;74.83;434.84
7.34;40.72;1023.01;80.08;483.92
25.18;57.5;1015.07;60.76;449.01
22.7;60.84;1019.15;71.48;438.59
11.95;41.58;1015.83;89.35;464.57
21.86;64.45;1015.83;63.36;457.8
25.22;71.85;1009.78;68.96;438.71
18.78;63.09;1019.22;80.2;452.86
17.89;42.42;1008.92;65.08;467.59
12.14;45;1023.9;89.2;476.6
21.01;51.19;1008.44;81.49;446.2
27.01;43.77;1011.18;46.58;440.64
28.72;68.14;1005.82;46.52;443.26
30.55;68.24;1009.43;63.84;426.8
16.46;61.27;1020.02;74.54;456.64
16.82;49.15;1020.68;72.07;462.22
24.56;58.82;1011.42;72.47;442.76
26.38;70.47;1007.36;76.91;434.02
18.85;41.1;1001.95;61.75;462.4
27.34;63.78;1016.5;48.4;446.56
25.75;71.14;1008.33;77.12;433.64
32.95;67.9;1005.88;45.15;425.89
9.64;40.56;1022.51;78.62;483.39
5.28;45.87;1008.25;97.88;479.91
28.76;60.23;1010.03;58.24;437.42
21.99;57.5;1015.87;80.72;446.96
